times,road,road status
2020-08-08 12:31,[용구대로(지방도 23호선)] 20km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 16km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 81km/h,소통원활
2020-08-08 12:31,[용구대로(지방도 23호선)] 29km/h,소통원활
2020-08-08 12:31,[용구대로(지방도 23호선)] 29km/h,소통원활
2020-08-08 12:31,[용구대로(지방도 23호선)] 18km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 45km/h,소통원활
2020-08-08 12:31,[용구대로(지방도 23호선)] 23km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 20km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 22km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 17km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 23km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 19km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 39km/h,소통원활
2020-08-08 12:31,[용구대로(지방도 23호선)] 12km/h,정체
2020-08-08 12:31,[용구대로(지방도 23호선)] 23km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 7km/h,정체
2020-08-08 12:31,[용구대로(지방도 23호선)] 7km/h,정체
2020-08-08 12:31,[용구대로(지방도 23호선)] 14km/h,정체
2020-08-08 12:31,[용구대로(지방도 23호선)] 18km/h,부분지체
2020-08-08 12:31,[용구대로(지방도 23호선)] 55km/h,소통원활
2020-08-08 12:31,[용구대로(지방도 23호선)] 75km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 30km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 44km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 54km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 31km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 13km/h,정체
2020-08-08 12:31,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 7km/h,정체
2020-08-08 12:31,[중부대로(국도 42호선)] 42km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 43km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 33km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 50km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 46km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 31km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 65km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 46km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 27km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 25km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 16km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 21km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 61km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 48km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 50km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 21km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 23km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 19km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 42km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 25km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 29km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 27km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 8km/h,정체
2020-08-08 12:31,[중부대로(국도 42호선)] 25km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 32km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 31km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 40km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 30km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 62km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 14km/h,정체
2020-08-08 12:31,[중부대로(국도 42호선)] 39km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 22km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 25km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 17km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 18km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 33km/h,소통원활
2020-08-08 12:31,[중부대로(국도 42호선)] 21km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 22km/h,부분지체
2020-08-08 12:31,[중부대로(국도 42호선)] 25km/h,소통원활
2020-08-08 12:31,[포은대로(국도 43호선)] 37km/h,소통원활
2020-08-08 12:31,[포은대로(국도 43호선)] 37km/h,소통원활
2020-08-08 12:31,[포은대로(국도 43호선)] 57km/h,소통원활
2020-08-08 12:31,[포은대로(국도 43호선)] 41km/h,소통원활
