times,road,road status
2020-08-08 14:47,[용구대로(지방도 23호선)] 23km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 62km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 25km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 22km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 19km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 44km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 21km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 16km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 18km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 20km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 12km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 24km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 39km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 10km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 33km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 11km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 11km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 10km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 20km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 37km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 69km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 25km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 47km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 33km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 40km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 12km/h,정체
2020-08-08 14:47,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 9km/h,정체
2020-08-08 14:47,[중부대로(국도 42호선)] 51km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 37km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 50km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 40km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 65km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 49km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 22km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 27km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 17km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 60km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 50km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 51km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 23km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 14km/h,정체
2020-08-08 14:47,[중부대로(국도 42호선)] 31km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 34km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 40km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 22km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 25km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 36km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 22km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 31km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 13km/h,정체
2020-08-08 14:47,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 30km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 21km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 35km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 30km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 54km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 15km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 47km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 28km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 21km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 42km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 47km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 28km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 40km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 37km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 57km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 41km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 41km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 30km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 17km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 36km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 14km/h,정체
2020-08-08 14:47,[포은대로(국도 43호선)] 18km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 42km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 63km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 70km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 66km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 48km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 17km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 27km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 26km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 18km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 16km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 9km/h,정체
2020-08-08 14:47,[포은대로(국도 43호선)] 13km/h,정체
2020-08-08 14:47,[포은대로(국도 43호선)] 22km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 29km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 36km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 67km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 71km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 71km/h,소통원활
2020-08-08 14:47,[광교로] 54km/h,소통원활
2020-08-08 14:47,[광교로] 52km/h,소통원활
2020-08-08 14:47,[광교로] 45km/h,소통원활
2020-08-08 14:47,[광교로] 24km/h,부분지체
2020-08-08 14:47,[광교로] 21km/h,부분지체
2020-08-08 14:47,[광교로] 28km/h,소통원활
2020-08-08 14:47,[광교로] 57km/h,소통원활
2020-08-08 14:47,[광교로] 56km/h,소통원활
2020-08-08 14:47,[광교로] 55km/h,소통원활
2020-08-08 14:47,[광교로] 5km/h,정체
2020-08-08 14:47,[광교로] 31km/h,소통원활
2020-08-08 14:47,[광교로] 34km/h,소통원활
2020-08-08 14:47,[마북로] 36km/h,소통원활
2020-08-08 14:47,[마북로] 21km/h,소통원활
2020-08-08 14:47,[마북로] 16km/h,부분지체
2020-08-08 14:47,[마북로] 10km/h,정체
2020-08-08 14:47,[마북로] 29km/h,소통원활
2020-08-08 14:47,[마북로] 18km/h,소통원활
2020-08-08 14:47,[마북로] 13km/h,정체
2020-08-08 14:47,[마북로] 18km/h,부분지체
2020-08-08 14:47,[성산로(지방도 321호선)] 52km/h,소통원활
2020-08-08 14:47,[성산로(지방도 321호선)] 28km/h,소통원활
2020-08-08 14:47,[성산로(지방도 321호선)] 45km/h,소통원활
2020-08-08 14:47,[성산로(지방도 321호선)] 37km/h,소통원활
2020-08-08 14:47,[성산로(지방도 321호선)] 30km/h,소통원활
2020-08-08 14:47,[성산로(지방도 321호선)] 44km/h,소통원활
2020-08-08 14:47,[성산로(지방도 321호선)] 33km/h,소통원활
2020-08-08 14:47,[성산로(지방도 321호선)] 46km/h,소통원활
2020-08-08 14:47,[성산로(지방도 321호선)] 37km/h,소통원활
2020-08-08 14:47,[성산로(지방도 321호선)] 20km/h,부분지체
2020-08-08 14:47,[수지로] 14km/h,정체
2020-08-08 14:47,[수지로] 16km/h,부분지체
2020-08-08 14:47,[수지로] 23km/h,부분지체
2020-08-08 14:47,[수지로] 20km/h,부분지체
2020-08-08 14:47,[수지로] 37km/h,소통원활
2020-08-08 14:47,[수지로] 17km/h,부분지체
2020-08-08 14:47,[수지로] 52km/h,소통원활
2020-08-08 14:47,[수지로] 32km/h,소통원활
2020-08-08 14:47,[수지로] 35km/h,소통원활
2020-08-08 14:47,[수지로] 22km/h,부분지체
2020-08-08 14:47,[수지로] 21km/h,부분지체
2020-08-08 14:47,[수지로] 17km/h,부분지체
2020-08-08 14:47,[수지로] 17km/h,부분지체
2020-08-08 14:47,[수지로] 37km/h,소통원활
2020-08-08 14:47,[수지로] 38km/h,소통원활
2020-08-08 14:47,[수지로] 22km/h,부분지체
2020-08-08 14:47,[수지로] 39km/h,소통원활
2020-08-08 14:47,[수지로] 18km/h,부분지체
2020-08-08 14:47,[수지로] 23km/h,부분지체
2020-08-08 14:47,[수지로] 19km/h,부분지체
2020-08-08 14:47,[수지로] 23km/h,부분지체
2020-08-08 14:47,[수지로] 19km/h,부분지체
2020-08-08 14:47,[죽양대로(국도 17호선)] 59km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 54km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 53km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 41km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 48km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 75km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 61km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 58km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 53km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 56km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 70km/h,소통원활
2020-08-08 14:47,[죽양대로(국도 17호선)] 77km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 28km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 42km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 32km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 20km/h,부분지체
2020-08-08 14:47,[동부로(지방도 57호선)] 23km/h,부분지체
2020-08-08 14:47,[동부로(지방도 57호선)] 35km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 44km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 44km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 53km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 43km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 15km/h,부분지체
2020-08-08 14:47,[동부로(지방도 57호선)] 43km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 37km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 31km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 20km/h,부분지체
2020-08-08 14:47,[동부로(지방도 57호선)] 36km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 43km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 40km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 33km/h,소통원활
2020-08-08 14:47,[동부로(지방도 57호선)] 41km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 81km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 60km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 85km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 77km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 81km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 75km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 75km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 75km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 77km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 77km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 76km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 72km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 72km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 72km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 72km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 68km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 66km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 69km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 65km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 68km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 76km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 76km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 76km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 77km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 77km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 77km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 75km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 75km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 75km/h,소통원활
2020-08-08 14:47,[신갈우회도로] 75km/h,소통원활
